218775148495515649	111114	4	4	unknwn	Musical awareness: Great Big Beautiful Tomorrow has an ending, Now is the time does not
258965201766998017	111116	17	17	unknwn	On Radio786 100.4fm 7:10 Fri Oct 19 Labour analyst Shawn Hattingh: Cosatu's role in the context of unrest in the mining http://t.co/46pjzzl6
262926411352903682	111118	13	13	unknwn	Kapan sih lo ngebuktiin,jan ngomong doang Susah Susah.usaha Aja blm udh nyerah,inget.if you never try you'll never know.cowok kok gentle bgt
262926411352903682	111119	16	16	unknwn	Kapan sih lo ngebuktiin,jan ngomong doang Susah Susah.usaha Aja blm udh nyerah,inget.if you never try you'll never know.cowok kok gentle bgt
171874368908050432	111122	0	0	unknwn	Excuse the connectivity of this live stream, from Baba Amr, so many activists using only one Sat Modem. LIVE http://t.co/U283IhZ5 #Homs
256010056942903296	111124	2	2	unknwn	Show your LOVE for your local field &amp; it might win an award!  Gallagher Park #Bedlington current 4th in National Award http://t.co/WeiMDtQt
256010056942903296	111125	9	10	unknwn	Show your LOVE for your local field &amp; it might win an award!  Gallagher Park #Bedlington current 4th in National Award http://t.co/WeiMDtQt
256010056942903296	111126	12	12	unknwn	Show your LOVE for your local field &amp; it might win an award!  Gallagher Park #Bedlington current 4th in National Award http://t.co/WeiMDtQt
261776619146985472	111129	15	15	unknwn	@firecore Can you tell me when an update for the Apple TV 3rd gen becomes available? The missing update holds me back from buying #appletv3
261776619146985472	111130	17	17	unknwn	@firecore Can you tell me when an update for the Apple TV 3rd gen becomes available? The missing update holds me back from buying #appletv3
264143999374356481	111132	14	15	unknwn	@Heavensbasement The Crown, Filthy McNastys, Katy Dalys or the Duke if York in Belfast! Can't wait to catch you guys tomorrow night!
264088575476391936	111135	18	18	unknwn	My #cre blog Oklahoma Per Square Foot returns to the @JournalRecord blog hub tomorrow. I will have some interesting local data to share.
264033815066984448	111137	8	9	unknwn	"@bbcburnsy: Loads from SB; talks with Chester continue; no deals 4 out of contract players 'til Jan; Dev t Roth ,Coops to Chest'ld #hcafc"
258639996037259264	111144	0	0	unknwn	W.O.W Wednesday!Marni lands this Lumberjack vest for the ladies looking to bring a little Tom boy toughness  http://t.co/7NyCbdJR
258639996037259264	111145	16	16	unknwn	W.O.W Wednesday!Marni lands this Lumberjack vest for the ladies looking to bring a little Tom boy toughness  http://t.co/7NyCbdJR
250981027969896448	111147	15	18	unknwn	Activists in Deir Ezzor captured this image of Musab Bin Umair Mosque after regime forces set it on fire Wednesday. http://t.co/MRcoprCE
195554987919679488	111149	3	3	unknwn	@karaotr You will appreciate this.. Sunday brunch coffee: Normal cup in b/g and then the BOWL of java. Yowza. http://t.co/XhbtaCvm
260536025800142848	111153	0	0	unknwn	Join me Wed for a live webcast on cost optimization for IT, for the SMB crowd. http://t.co/tyJn4RES  &lt;&lt; send your questions in! #DellWebcast
263473556753620993	111159	1	1	unknwn	Special THANKS to EVERYONE for coming out to Taboo Tuesday With DST tonight! It was FUN&amp;educational!!! :) @XiEtaDST
263473556753620993	111160	15	16	unknwn	Special THANKS to EVERYONE for coming out to Taboo Tuesday With DST tonight! It was FUN&amp;educational!!! :) @XiEtaDST
263182075434254336	111162	4	4	unknwn	@fatimasule That was the revelation I mentioned on sunday evening. I am still in Abj. How are u &amp; where have u been again?
256514267149385729	111165	4	4	unknwn	The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you? #MDMadness http://t.co/B19fECgY
256514267149385729	111166	6	9	unknwn	The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you? #MDMadness http://t.co/B19fECgY
263733718085140481	111168	16	17	unknwn	Just seen @JonasBrothers at Radio City and now get to see then again on the 28th!! SO EXCITED!!!
241403423130525699	111170	0	6	unknwn	I may or may not be jumping around the lounge to some random boy band on MTV Hits
263690432473624578	111172	21	21	unknwn	whos trying to go to Buenos Aires with me February 23rd? Armin van Buuren &amp; Carl Cox! ...how does it get better?!
260072342905049088	111174	14	15	unknwn	@Trirob249 just bought tickets to see george groves and ricky burns fight in december, can't wait!!!
