"4","1467824794","Mon Apr 06 22:23:25 PDT 2009","NO_QUERY","tylerjamesberry","noodlebox with amanda tonight "
"4","1467899524","Mon Apr 06 22:43:14 PDT 2009","NO_QUERY","Jayla_Superstar","@iamdiddy I feel you I hate working out too! But our results will be MAJOR! When you look good you feel good! "
"4","1467918032","Mon Apr 06 22:48:23 PDT 2009","NO_QUERY","amandaniqole","@StacieLane  How are you? Was good seeing you @ Lip Service last week!"
"4","1468021275","Mon Apr 06 23:18:02 PDT 2009","NO_QUERY","triner","@teleken It's a feat of USB engineering! Makes every day a party.  "
"4","1468054044","Mon Apr 06 23:28:16 PDT 2009","NO_QUERY","brandonXmichael","Well, tomorow should be fun. I don't know why! But I'm tired. Goodnight kids "
"4","1468069879","Mon Apr 06 23:33:04 PDT 2009","NO_QUERY","Carmnx","@GoldenFish00 I've got the DVD! (well it's not mine!) "
"4","1468117998","Mon Apr 06 23:48:45 PDT 2009","NO_QUERY","grooveshark","@malcolli who doesn't love fuzzy crits? "
"4","1468118401","Mon Apr 06 23:48:52 PDT 2009","NO_QUERY","margesbakery","@Steve_Buscemi I'll feed you for life is you say my cookies are the best. "
"4","1468269186","Tue Apr 07 00:39:16 PDT 2009","NO_QUERY","digitalgravy","ok i'm being daring and wearing shorts and flip flops today "
"4","1468323637","Tue Apr 07 00:58:38 PDT 2009","NO_QUERY","dcholland","Again...with the full link  http://bit.ly/C7k4"
"4","1468447108","Tue Apr 07 01:43:31 PDT 2009","NO_QUERY","SarahSaner","@Lesley_M If only you werent on the other side of the Ocean Hmmm I am looking for a job!  x"
"4","1468449402","Tue Apr 07 01:44:23 PDT 2009","NO_QUERY","sarakhh","@xMileyCyrusx I'm watching hannah montana right now  haha, it's hilarious. and you are so talented! "
"4","1468459347","Tue Apr 07 01:47:59 PDT 2009","NO_QUERY","libbyoliver","thanks everyone for your words its really lovely and overwhelming  Thanks"
"4","1468476049","Tue Apr 07 01:54:16 PDT 2009","NO_QUERY","TabbySunLion","30 years today!  Our wedding aniversary.  I want to live with him for ever "
"4","1468476408","Tue Apr 07 01:54:23 PDT 2009","NO_QUERY","throwboy","@lrv94 It looks really really great!  I love it   I blogged it on the Throwboy blog!"
"4","1468611219","Tue Apr 07 02:43:18 PDT 2009","NO_QUERY","LuisDaniel_A","Have received my first title name      &quot;Creative technologist&quot;"
"4","1468699967","Tue Apr 07 03:14:31 PDT 2009","NO_QUERY","trenchmonkey","...on my 1st cup of coffee, good to be alive "
"4","1468769336","Tue Apr 07 03:38:16 PDT 2009","NO_QUERY","petesanderson","@LadyParadis Just make them yourself then......harder with sausages, but burgers are easy "
"4","1468819528","Tue Apr 07 03:54:13 PDT 2009","NO_QUERY","andrewgodwin","Have been convinced to do the second talk at tonight's DJUGL. I'm hoping not to become too regular a feature "
"4","1469011145","Tue Apr 07 04:49:48 PDT 2009","NO_QUERY","SorenLorensen","@hollyalyxfinch Oh, Holly!  Take no notice of these morons - we think you're wonderful and very talented "
"4","1469069579","Tue Apr 07 05:04:42 PDT 2009","NO_QUERY","jiangyin","@outsidealone the video. "
"4","1469088899","Tue Apr 07 05:09:23 PDT 2009","NO_QUERY","M_D_C","@bruitist I already have Twhirl . and i will for the other one now  thanking you sir"
"4","1469110700","Tue Apr 07 05:14:41 PDT 2009","NO_QUERY","MaryWebbJones","@GStuedler You don't like his glasses? Give it a while longer, they will grow on you. "
"4","1469133332","Tue Apr 07 05:20:01 PDT 2009","NO_QUERY","Papillon66","I'm looking at making a water pond in the back yard. It will have fish and frogs and a bridge! "
"4","1469243189","Tue Apr 07 05:44:13 PDT 2009","NO_QUERY","cameronolivier","@ackbarr thanks - I'll take a look at it  - I'm looking for a webpage to server transfer"
"4","1469244844","Tue Apr 07 05:44:34 PDT 2009","NO_QUERY","carstenknoch","In BizTalk traing at Microsoft Canada in scenic Mississauga. Day 2 of new job "
"4","1469314231","Tue Apr 07 05:59:13 PDT 2009","NO_QUERY","Nezzlee","@Miss_Marisa it was gloomy for one day half the day.. then it was sunny "
"4","1469345352","Tue Apr 07 06:05:11 PDT 2009","NO_QUERY","steverwood","Working out discounts to make Easter just that bit more fun "
"4","1469422427","Tue Apr 07 06:20:04 PDT 2009","NO_QUERY","sjkparker","#cflsc1 enough of the shameless book plug "
